م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
4494,خردوات فرشاة اساس ESSENCE,2,0,18,1,36,0,30,1,25,0,20,0,2025/12/27,,,,,,,,,,,,,,,009150,,0,,36,خردوات,فرشاة اساس ESSENCE,,,,100,2,0,خردوات,1,نواقص,99999,\us\134\pid\516\f132589979815595550133.png,18,,2023/04/11,,,,,,,,2023/04/11,,-3,2021/04/01,10,#TOOLS ,"العنايه,بالجسم,فرشاه,اساس,ESSENCE",رصيد اول المده,,,,0,50,18,2021/08/29,فرشاه اساس ESSENCE,18,لا,36,30,25,20,1
4495,خردوات فرشاة بلاشر ESSENCE,0,0,18,0,36,0,30,0,25,0,20,0,2022/11/11,,,,,,,,,,,,,,,009148,,0,,0,خردوات,فرشاة بلاشر ESSENCE,,,,100,0,0,خردوات,1,نواقص,99999,\us\134\pid\514\f132589980762846292136.png,18,,2022/11/07,,,,,,,,2022/11/11,,-2,2021/04/01,10,#TOOLLS ,"العنايه,بالبشره,فرشاه,بلاشر,ESSENCE",رصيد اول المده,,,,0,50,18,2021/08/29,فرشاه بلاشر ESSENCE,18,لا,36,30,25,20,1
4496,خردوات فرشاة كريم اساس ESSENCE,0,0,18,0,36,0,30,0,25,0,20,0,2024/02/05,,,,,,,,,,,,,,,009151,,0,,0,خردوات,فرشاة كريم اساس ESSENCE,,,,100,0,0,خردوات,1,نواقص,99999,\us\134\pid\517\f132589978524606386130.png,18,,2023/09/07,,,,,,,,2024/02/05,,-3,2021/04/01,10,#TOOLS ,"العنايه,بالبشره,فرشاه,كريم,اساس,ESSENCE",رصيد اول المده,,,,0,50,18,2021/08/29,فرشاه كريم اساس ESSENCE,18,لا,36,30,25,20,1
4497,خردوات فرشاة كونتور ESSENCE,2,0,12,2,36,0,30,0,25,0,20,0,2025/12/27,,,,,,,,,,,,,,,009149,,0,,24,خردوات,فرشاة كونتور ESSENCE,,,,200,2,0,خردوات,1,نواقص,99999,,12,,2023/07/17,,,,,,,,2023/07/17,,-3,2021/04/01,10,#TOOLS ,"العنايه,بالبشره,فرشاه,كونتور,ESSENCE",رصيد اول المده,,,,0,66٫67,12,2021/08/29,فرشاه كونتور ESSENCE,12,لا,36,30,25,20,0
4498,خردوات فرشه Antistatic,0,0,8٫25,0,15,0,12,0,10,0,9,0,2024/01/31,,,,,,,,,,,,,,,009026,,0,,0,خردوات,فرشه Antistatic,,,,81٫82,0,0,خردوات,1,نواقص,99999,\us\134\pid\114\f132588387238064685011.png,8,,2023/10/13,,,,,,,,2021/09/01,,-5,2021/04/01,10,#TOOLS ,"العنايه,بالشعر,فرشه ,ANTISTATC",رويال/ادره المخازن,,,,0,45,8,2022/02/02,فرشه ANTISTATC,8٫25,لا,15,12,10,9,1
4499,خردوات فرشه اساس سيجما مشكل,0,0,14٫46,0,24,0,20,0,18,0,17,0,2023/09/23,,,,,,,,,,,,,,,009058,,0,,0,خردوات,فرشه اساس سيجما مشكل,,,,65٫95,0,0,خردوات,1,نواقص,99999,\us\134\pid\149\f132550161485631897349.png,14,,2022/12/07,,,,,,,,2023/09/23,,-6,2021/04/01,10,#TOOLS ,"BRUSH,SIGMA,TOOLS,MAKE UP,فرشه,اساس,",رويال / اداره المخازن الاقصر,,,,0,39٫74,14,2022/02/24,فرشه اساس SIGMA,14٫46,لا,24,20,18,17,2
4500,خردوات فرشه استحمام,0,0,15,0,30,0,25,0,22,0,20,0,2022/01/04,,,,,,,,,,,,,,,009235,,0,,0,خردوات,فرشه استحمام,,,,100,0,0,,1,---,99999,,15,,,,,,,,,,2022/01/04,,-1,,,,,رويال/ادره المخازن,,,,0,50,15,2022/01/04,,15,لا,30,25,22,20,0
4501,خردوات فرشه اطفال مشط لوكس,6,0,10٫41,6,20,0,15,0,13,0,11٫5,0,2023/11/18,,,,,,,,,,,,,,,009025,,0,,62٫4504,خردوات,فرشه اطفال مشط لوكس,,,,92٫15,6,0,خردوات,1,نواقص,99999,\us\134\pid\113\f132546868383496263144.png,10٫5,,2023/01/10,,,,,,,,2023/08/10,,-11,2021/04/01,15,#TOOLS ,"مشط, فرشه,خردوات,شعر,اطفال,سهوله,SOFT,COMB,BRUSH",رويال / اداره المخازن الاقصر,,,,0,47٫96,10٫5,2022/02/24,طقم اطفال فرشه مشط,10٫41,لا,20,15,13,11٫5,3
4502,خردوات فرشه اظافر ك او 2 ص,2,0,4٫53,0,10,0,8,0,7,0,6٫25,2,2026/03/17,,,,,,,,,,,,,,,009022,,0,,9٫0564,خردوات,فرشه اظافر ك او 2 ص,,,,120٫84,2,0,خردوات,1,نواقص,99999,\us\134\pid\110\f132548399596602840063.png,4٫5,,2023/12/15,,,,,,,,2026/03/17,,-1,2021/04/01,10,#TOOLS ,"BRUSH,NAIL,PEDICURE,فرشه,اظافر,تنظيف,عنايه",رويال/ادره المخازن,,,,0,54٫72,4٫5,2022/02/02,Pedicure Brushes,4٫53,لا,10,8,7,6٫25,3
4503,خردوات فرشه ايشادو 10*1,0,0,15,0,25,0,22,0,20,0,18,0,2025/10/10,,,,,,,,,,,,,,,009438,,0,,0,خردوات,فرشه ايشادو 10*1,,,,66٫67,0,0,,1,نواقص,99999,,15,,2025/02/04,,,,,,,,,,-1,,,,,ميخائيل نجع حمادي,,,,0,40,15,2024/07/23,,15,لا,25,22,20,18,0
